,name,price,depreciation,mileage,eng_cap,power,reg_date,coe_left,owners,omv,arf,accessories
0,Lexus IS250 Luxury ,59988.0,11910.0,165000.0,2500.0,153.0,22-Apr-2009,5.03,4.0,41697.0,41697.0,"Android heat unit, multi function steering wheel, reverse camera and sensor, electric seats, keyless entry, start/stop."
1,Porsche 911 Carrera S Coupe 3.0A PDK,608888.0,65000.0,19000.0,2981.0,331.0,09-Sep-2021,7.42,2.0,156244.0,253240.0,Bose Sound System. Sports Exhaust.
2,Toyota Corolla Altis 1.6A ,53800.0,10630.0,146302.0,1598.0,80.0,04-Jun-2009,5.06,6.0,17500.0,17500.0,"Sports rims, leather seats, factory fitted audio system with reverse sensors, retractable side mirrors with indicators."
4,Volkswagen Golf 1.4A TSI EQP Sunroof ,62800.0,12550.0,95000.0,1395.0,90.0,26-Aug-2014,5.0,2.0,22711.0,8796.0,"18"" sport rims. Factory fitted audio system. Navigation. Retractable side mirrors. Rear aircon. Sunroof. Electric park brake. All round sensor."
5,Honda Odyssey 2.4A EXV-S Sunroof ,84800.0,8480.0,135404.0,2356.0,129.0,27-Aug-2014,10.0,1.0,29743.0,33641.0,"Sunroof, dual auto sliding doors, front electric seats, 360 view cam w/auto park assist. Blindspot alert. Multi function steering controls, Bluetooth."
6,BMW 5 Series 528i M-Sport Sunroof ,144800.0,14470.0,114000.0,1997.0,180.0,11-Apr-2014,10.0,2.0,58047.0,71485.0,"Keyless entry/start, reverse camera/sensors, power tailgate with kick boot, navigation, Bluetooth, soft closing, iDrive, electric/memory seats."
7,Mercedes-Benz C-Class C200,35800.0,25800.0,151000.0,1991.0,135.0,12-Feb-2015,0.84,2.0,32904.0,28066.0,"Keyless entry/start/stop, multi function steering wheel, reverse camera/sensor, auto headlight, premium leather interior, wireless phone charging."
10,Opel Grandland X 1.2A Turbo Innovation Premium,92800.0,13810.0,75000.0,1199.0,96.0,16-Oct-2019,5.52,1.0,29370.0,33118.0,"Forward Collision Alert, Apple CarPlay And Android Auto, Reverse Camera With 360 View, Lane Keep Assist, Auto Tailgate, Sport Rim, Etc."
11,Porsche Macan Diesel S 3.0A PDK ,188800.0,18870.0,123967.0,2967.0,190.0,09-Oct-2014,10.0,2.0,71308.0,95355.0,"Dual auto memory seats, original factory system with all round parking cam/sensor, 6-pot Porsche calipers, sport mode, rear aircon, auto tailgate."
13,Honda Odyssey 2.4A EXV-S Sunroof ,128800.0,12870.0,134314.0,2356.0,129.0,11-Mar-2014,10.0,2.0,30422.0,34591.0,"Sunroof, dual auto sliding doors, front electric seats, 360 view cam w/auto park assist. Blindspot alert. Multi-function steering controls, Bluetooth."
14,Mercedes-Benz C-Class C350 Avantgarde ,89800.0,13170.0,120000.0,3498.0,225.0,26-Jul-2011,6.81,3.0,69317.0,69317.0,"Keyless entry/start/stop, reverse camera/sensor, lane assist, blind spot monitoring, multi functional steering wheel, rear ac, electric memory seats."
15,Honda Fit Hybrid 1.5A,71888.0,14770.0,66000.0,1496.0,101.0,19-Nov-2018,4.61,2.0,17493.0,7493.0,"Leather seats, auto fold side mirror, keyless entry start, auto headlights, knockdown rear seats, sports rim, solar film, recording camera."
18,Nissan Note e-POWER Hybrid 1.2A Premium,56800.0,14430.0,75270.0,1760.0,80.0,25-Aug-2017,3.37,1.0,24442.0,16219.0,"Keyless entry/start/stop, Bluetooth, Apple CarPlay/Android Auto, knockdown rear seats, reverse camera, lane keep assist, lane departure warning."
19,Lexus RX450h Hybrid Premium Sunroof,180988.0,28430.0,33000.0,3456.0,230.0,31-May-2018,4.06,1.0,85793.0,126428.0,"Sports rims, leather seats, DVD player, reverse sensors, LCD monitor, rear aircon."
20,Volkswagen Passat 1.8A TFSI,86988.0,16030.0,84000.0,1798.0,132.0,19-Oct-2018,4.52,1.0,26305.0,28827.0,"17'' factory fitted rims with almost new tyres. Factory fitted audio system. Bluetooth, navigation, electric memory seats. Auto climate aircon."
21,Nissan Note 1.2A,70800.0,12120.0,42410.0,1198.0,58.0,27-Nov-2019,5.63,2.0,13465.0,5000.0,"Keyless entry/start/stop, knockdown rear seats, reverse sensors, upgraded Android audio player, leather upholstery."
