name,price,depreciation,mileage,eng_cap,power,reg_date,coe_left,owners,omv,arf,accessories,new_name
Honda Crossroad 1.8A X ,59800,13980,126000,1799,103,25-Sep-08,4.27,4,18505,14806,"Leather seats, sports rims, Android player, window visors, solar films.",Honda Crossroad (2008-2011)
Subaru Forester 2.0A XT Sunroof,41800,17710,139080,1998,177,28-Jan-16,0.85,1,17994,17994,This car comes with 6-mth                                                Sgcarmart,Subaru Forester (2013-2019)
Honda Shuttle Hybrid 1.5A,70800,16100,53000,1496,101,18-Jun-18,4.24,3,20712,5000,"Leather seats, media player with Bluetooth, sports rims, multi steering control, front and back camera with reverse camera and sensors.",Honda Shuttle (2015)
Toyota Prius Plus Hybrid 1.8A,88800,17300,95000,1798,100,29-Aug-18,4.43,2,30006,24009,"PARF Car, Premium Ad Car, Hybrid Cars",Toyota Prius
Audi Q2 1.0A TFSI S-tronic,69800,16230,54000,999,85,8-Dec-17,3.71,2,26517,19124,"Keyless entry/start, Audi MMI, Audi drive select, cruise control, Bluetooth, auto climate control, auto headlamps, auto tailgate, ambient lighting.",Audi Q2 (2017)
Mitsubishi Outlander 2.4A,65800,16820,73888,2360,123,13-Jul-17,3.3,1,20233,20327,"18"" sports rims, factory fitted audio system, reverse sensors/camera, solar film, fog lights. LED headlamps and DRL. Upholstery leather seats.",Mitsubishi Outlander (2014-2015)
Volkswagen Touran 1.4A TSI Comfortline Sunroof,82888,16600,99000,1395,110,1-Jun-18,4.19,1,24663,26529,"17 inch rims, auto headlights, reverse camera, reverse sensors, auto rain sensors, tyres pressure monitor, tri-zone aircon, auto retractable.",Volkswagen Touran (2016-2024)
Porsche Panamera G2 3.0A PDK,245000,49900,83600,2995,243,16-May-17,3.06,2,113251,175852,Surround view parking assist. Navigation. Bluetooth interface. Keyless entry. Soft close doors. 14 way memory seats. Reverse camera.,Porsche Panamera (2009-2013)
Mercedes-Benz E-Class E300 Coupe AMG Line,164999,30600,68000,1991,180,16-Jan-18,3.82,3,69047,96285,"Keyless entry and start, sunroof, 360 camera, electric memory seats, original Burmester sound system.",Mercedes-Benz E300
Honda Odyssey 2.4A EXV-S,81800,20990,88488,2356,129,20-Mar-17,2.99,1,32881,38034,Dual electric sliding doors. Reverse camera/sensors. Sunroof. Sports rims.,Honda Odyssey (2014-2021)
BMW 7 Series 730Li Sunroof ,89800,13080,138456,2996,190,1-Feb-11,6.86,6,70376,70376,"Electric Memory Seats, Rear Aircon, Reverse Camera/sensor, Solar Film, Recording Camera, Dual Electric Seats With Memory. Suction Door.",BMW 7 Series (2009-2012)
Audi Q3 1.4A TFSI S-tronic,48900,17310,122000,1395,110,26-Jan-16,0.84,1,29901,33862,"Audi Drive Select, Electric Seats, Upgraded Android Player with Reverse Camera, Climatic Aircon, Rear Aircon.",Audi Q3 2016 (2011-2019)
